what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1246634793547
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1246634793547
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1246634793547
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1246634793548
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1246634793548
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1246634793548
os,sysinfo,,,"macosx",1246634793551
arch,sysinfo,,,"x86",1246634793551
ws,sysinfo,,,"cocoa",1246634793551
locale,sysinfo,,,"en_US",1246634793551
processors,sysinfo,,,"2",1246634793552
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1246634793552
java.runtime.version,sysinfo,,,"1.5.0_19-b02-304",1246634793552
java.specification.name,sysinfo,,,"Java Platform API Specification",1246634793552
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1246634793552
java.specification.version,sysinfo,,,"1.5",1246634793552
java.vendor,sysinfo,,,"Apple Inc.",1246634793552
java.version,sysinfo,,,"1.5.0_19",1246634793552
java.vm.info,sysinfo,,,"mixed mode",1246634793552
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1246634793552
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1246634793552
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1246634793552
java.vm.specification.version,sysinfo,,,"1.0",1246634793552
java.vm.vendor,sysinfo,,,"Apple Inc.",1246634793552
java.vm.version,sysinfo,,,"1.5.0_19-137",1246634793552
