what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.resources",1246637047554
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1246637047554
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1246637047554
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1246637047554
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1246637047554
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1246637047554
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1246637047554
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1246637047554
started,bundle,com.collabnet.subversion.merge,1.9.0.4,"com.collabnet.subversion.merge",1246637047554
started,bundle,org.eclipse.jdt.core,3.5.0.v_963,"org.eclipse.jdt.core",1246637047554
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1246637047554
started,bundle,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui",1246637047554
started,bundle,org.tigris.subversion.clientadapter,1.6.0.2,"org.tigris.subversion.clientadapter",1246637047554
started,bundle,org.tigris.subversion.subclipse.core,1.6.2,"org.tigris.subversion.subclipse.core",1246637047554
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1246637047554
started,bundle,org.tigris.subversion.subclipse.ui,1.6.2,"org.tigris.subversion.subclipse.ui",1246637047554
os,sysinfo,,,"macosx",1246637047557
arch,sysinfo,,,"x86",1246637047557
ws,sysinfo,,,"cocoa",1246637047557
locale,sysinfo,,,"en_US",1246637047557
processors,sysinfo,,,"2",1246637047557
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1246637047557
java.runtime.version,sysinfo,,,"1.5.0_19-b02-304",1246637047557
java.specification.name,sysinfo,,,"Java Platform API Specification",1246637047557
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1246637047557
