what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635326900
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635327551
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635327867
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1246635336788
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1246635336836
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1246635336858
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635336913
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635339852
started,bundle,org.eclipse.equinox.p2.ui,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.ui",1246635339987
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1246635339988
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090604-1131,"org.eclipse.ecf.identity",1246635340046
started,bundle,org.eclipse.ecf,3.0.0.v20090604-1131,"org.eclipse.ecf",1246635340050
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer.httpclient",1246635340066
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer",1246635340068
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635340164
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635360744
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1246635360784
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635361892
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635365313
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.update",1246635365351
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635365673
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635374529
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635375932
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635385562
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635385741
