what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help.base,3.4.0.v200906111540,"org.eclipse.help.base",1246634808064
started,bundle,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui",1246634808075
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1246634808114
started,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1246634808146
started,bundle,org.eclipse.equinox.http.registry,1.0.200.v20090520-1800,"org.eclipse.equinox.http.registry",1246634808383
started,bundle,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser",1246634808391
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246634808528
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1246634808746
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1246634808748
started,bundle,org.eclipse.help.webapp,3.4.0.v20090429_1800,"org.eclipse.help.webapp",1246634809282
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635079609
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635081208
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635192659
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635207948
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635209986
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1246635227555
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1246635227569
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1246635227579
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635237539
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635268768
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635270797
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635275870
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635280806
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635288246
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246635290788
