what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.installationDialog",1246635444718
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246636172584
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246636186114
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1246636223981
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1246636229291
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1246636235344
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1246636237299
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246636343589
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1246636343692
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246636344012
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246636524822
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246636524912
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.ui",1246636525081
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.core",1246636525081
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200906161748,"org.eclipse.cdt.dsf.gdb.ui",1246636525082
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.0.200906161748,"org.eclipse.cdt.dsf.ui",1246636525082
stopped,bundle,org.eclipse.cdt.launch,6.0.0.200906161748,"org.eclipse.cdt.launch",1246636525082
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.ui",1246636525082
stopped,bundle,org.eclipse.cdt.dsf.gdb,2.0.0.200906161748,"org.eclipse.cdt.dsf.gdb",1246636525082
stopped,bundle,org.eclipse.cdt.dsf,2.0.0.200906161748,"org.eclipse.cdt.dsf",1246636525082
stopped,bundle,org.eclipse.cdt.debug.core,6.0.0.200906161748,"org.eclipse.cdt.debug.core",1246636525082
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.200906161748,"org.eclipse.cdt.managedbuilder.ui",1246636525082
stopped,bundle,org.eclipse.cdt.make.ui,6.0.0.200906161748,"org.eclipse.cdt.make.ui",1246636525082
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200906161748,"org.eclipse.cdt.managedbuilder.gnu.ui",1246636525082
stopped,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200906161748,"org.eclipse.cdt.managedbuilder.core",1246636525082
