what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.5",1246637047557
java.vendor,sysinfo,,,"Apple Inc.",1246637047557
java.version,sysinfo,,,"1.5.0_19",1246637047557
java.vm.info,sysinfo,,,"mixed mode",1246637047557
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1246637047557
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1246637047558
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1246637047558
java.vm.specification.version,sysinfo,,,"1.0",1246637047558
java.vm.vendor,sysinfo,,,"Apple Inc.",1246637047558
java.vm.version,sysinfo,,,"1.5.0_19-137",1246637047558
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246637945444
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246642058282
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246642060756
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.ui",1246642061225
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.core",1246642061225
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200906161748,"org.eclipse.cdt.dsf.gdb.ui",1246642061225
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.0.200906161748,"org.eclipse.cdt.dsf.ui",1246642061225
stopped,bundle,org.eclipse.cdt.launch,6.0.0.200906161748,"org.eclipse.cdt.launch",1246642061225
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.ui",1246642061225
stopped,bundle,org.eclipse.cdt.dsf.gdb,2.0.0.200906161748,"org.eclipse.cdt.dsf.gdb",1246642061225
stopped,bundle,org.eclipse.cdt.dsf,2.0.0.200906161748,"org.eclipse.cdt.dsf",1246642061226
stopped,bundle,org.eclipse.cdt.debug.core,6.0.0.200906161748,"org.eclipse.cdt.debug.core",1246642061226
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.200906161748,"org.eclipse.cdt.managedbuilder.ui",1246642061226
stopped,bundle,org.eclipse.cdt.make.ui,6.0.0.200906161748,"org.eclipse.cdt.make.ui",1246642061226
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200906161748,"org.eclipse.cdt.managedbuilder.gnu.ui",1246642061226
